Subject,Run,Task,Accuracy,Precision,Recall,F1
S011,7,S011 Run 7: Real Left vs Real Right,0.7143,0.0,0.0,0.0
S011,11,S011 Run 11: Real Left vs Real Right,0.5714,0.0,0.0,0.0
S012,3,S012 Run 3: Real Left vs Real Right,0.5714,0.5,0.3333,0.4
S012,7,S012 Run 7: Real Left vs Real Right,0.7143,1.0,0.3333,0.5
S012,11,S012 Run 11: Real Left vs Real Right,0.5714,0.0,0.0,0.0
S013,3,S013 Run 3: Real Left vs Real Right,0.5714,0.0,0.0,0.0
S013,7,S013 Run 7: Real Left vs Real Right,0.4286,0.0,0.0,0.0
S013,11,S013 Run 11: Real Left vs Real Right,0.5714,0.0,0.0,0.0
S014,3,S014 Run 3: Real Left vs Real Right,0.7143,0.5,0.5,0.5
S014,7,S014 Run 7: Real Left vs Real Right,0.7143,0.0,0.0,0.0
S014,11,S014 Run 11: Real Left vs Real Right,0.5714,0.0,0.0,0.0
S015,3,S015 Run 3: Real Left vs Real Right,0.7143,0.0,0.0,0.0
S015,7,S015 Run 7: Real Left vs Real Right,0.7143,0.5,0.5,0.5
S015,11,S015 Run 11: Real Left vs Real Right,0.5714,0.0,0.0,0.0
S016,3,S016 Run 3: Real Left vs Real Right,0.4286,0.0,0.0,0.0
S016,7,S016 Run 7: Real Left vs Real Right,0.7143,0.0,0.0,0.0
S016,11,S016 Run 11: Real Left vs Real Right,0.7143,1.0,0.3333,0.5
S017,3,S017 Run 3: Real Left vs Real Right,0.5714,0.0,0.0,0.0
S017,7,S017 Run 7: Real Left vs Real Right,0.5714,0.5,0.3333,0.4
S017,11,S017 Run 11: Real Left vs Real Right,0.7143,0.0,0.0,0.0
S018,3,S018 Run 3: Real Left vs Real Right,0.7143,0.6667,0.6667,0.6667
S018,7,S018 Run 7: Real Left vs Real Right,0.7143,0.5,0.5,0.5
S018,11,S018 Run 11: Real Left vs Real Right,0.8571,1.0,0.5,0.6667
S019,3,S019 Run 3: Real Left vs Real Right,0.5714,0.0,0.0,0.0
S019,7,S019 Run 7: Real Left vs Real Right,0.5714,0.0,0.0,0.0
S019,11,S019 Run 11: Real Left vs Real Right,0.5714,0.0,0.0,0.0
S020,3,S020 Run 3: Real Left vs Real Right,0.5714,0.0,0.0,0.0
S020,7,S020 Run 7: Real Left vs Real Right,0.8571,0.6667,1.0,0.8
S020,11,S020 Run 11: Real Left vs Real Right,0.8571,1.0,0.5,0.6667
S021,3,S021 Run 3: Real Left vs Real Right,0.5714,0.0,0.0,0.0
S021,7,S021 Run 7: Real Left vs Real Right,0.5714,0.0,0.0,0.0
S021,11,S021 Run 11: Real Left vs Real Right,0.5714,0.0,0.0,0.0
S022,3,S022 Run 3: Real Left vs Real Right,1.0,1.0,1.0,1.0
S022,7,S022 Run 7: Real Left vs Real Right,1.0,1.0,1.0,1.0
S022,11,S022 Run 11: Real Left vs Real Right,1.0,1.0,1.0,1.0
S023,3,S023 Run 3: Real Left vs Real Right,0.5714,0.5,0.3333,0.4
S023,7,S023 Run 7: Real Left vs Real Right,0.7143,0.0,0.0,0.0
S023,11,S023 Run 11: Real Left vs Real Right,0.7143,0.0,0.0,0.0
S024,3,S024 Run 3: Real Left vs Real Right,0.8571,1.0,0.5,0.6667
S024,7,S024 Run 7: Real Left vs Real Right,0.5714,0.0,0.0,0.0
S024,11,S024 Run 11: Real Left vs Real Right,0.8571,1.0,0.6667,0.8
S025,3,S025 Run 3: Real Left vs Real Right,0.8571,0.6667,1.0,0.8
S025,7,S025 Run 7: Real Left vs Real Right,0.5714,0.0,0.0,0.0
S025,11,S025 Run 11: Real Left vs Real Right,0.8571,1.0,0.6667,0.8
S026,3,S026 Run 3: Real Left vs Real Right,0.5714,0.0,0.0,0.0
S026,7,S026 Run 7: Real Left vs Real Right,1.0,1.0,1.0,1.0
S026,11,S026 Run 11: Real Left vs Real Right,0.7143,0.0,0.0,0.0
S027,3,S027 Run 3: Real Left vs Real Right,0.8571,1.0,0.5,0.6667
S027,7,S027 Run 7: Real Left vs Real Right,0.5714,0.5,0.3333,0.4
S027,11,S027 Run 11: Real Left vs Real Right,0.8571,1.0,0.6667,0.8
S028,3,S028 Run 3: Real Left vs Real Right,0.5714,0.0,0.0,0.0
S028,7,S028 Run 7: Real Left vs Real Right,0.7143,1.0,0.3333,0.5
S028,11,S028 Run 11: Real Left vs Real Right,0.7143,0.0,0.0,0.0
S029,3,S029 Run 3: Real Left vs Real Right,0.8571,1.0,0.5,0.6667
S029,7,S029 Run 7: Real Left vs Real Right,0.8571,1.0,0.5,0.6667
S029,11,S029 Run 11: Real Left vs Real Right,0.8571,0.75,1.0,0.8571
S030,3,S030 Run 3: Real Left vs Real Right,0.7143,0.0,0.0,0.0
S030,7,S030 Run 7: Real Left vs Real Right,0.5714,0.0,0.0,0.0
S030,11,S030 Run 11: Real Left vs Real Right,0.7143,0.0,0.0,0.0
S031,3,S031 Run 3: Real Left vs Real Right,0.7143,0.5,0.5,0.5
S031,7,S031 Run 7: Real Left vs Real Right,0.5714,0.0,0.0,0.0
S031,11,S031 Run 11: Real Left vs Real Right,0.7143,1.0,0.3333,0.5
S032,3,S032 Run 3: Real Left vs Real Right,0.7143,1.0,0.3333,0.5
S032,7,S032 Run 7: Real Left vs Real Right,0.5714,0.0,0.0,0.0
S032,11,S032 Run 11: Real Left vs Real Right,0.8571,0.6667,1.0,0.8
S033,3,S033 Run 3: Real Left vs Real Right,1.0,1.0,1.0,1.0
S033,7,S033 Run 7: Real Left vs Real Right,0.8571,1.0,0.5,0.6667
S033,11,S033 Run 11: Real Left vs Real Right,0.8571,1.0,0.5,0.6667
S034,3,S034 Run 3: Real Left vs Real Right,1.0,1.0,1.0,1.0
S034,7,S034 Run 7: Real Left vs Real Right,1.0,1.0,1.0,1.0
S034,11,S034 Run 11: Real Left vs Real Right,0.7143,0.5,1.0,0.6667
S035,3,S035 Run 3: Real Left vs Real Right,0.8571,1.0,0.5,0.6667
S035,7,S035 Run 7: Real Left vs Real Right,0.7143,0.0,0.0,0.0
S035,11,S035 Run 11: Real Left vs Real Right,0.7143,0.0,0.0,0.0
S036,3,S036 Run 3: Real Left vs Real Right,0.7143,1.0,0.3333,0.5
S036,7,S036 Run 7: Real Left vs Real Right,0.7143,0.0,0.0,0.0
S036,11,S036 Run 11: Real Left vs Real Right,0.5714,0.5,0.3333,0.4
S037,3,S037 Run 3: Real Left vs Real Right,0.7143,0.5,0.5,0.5
S037,7,S037 Run 7: Real Left vs Real Right,0.8571,1.0,0.5,0.6667
S037,11,S037 Run 11: Real Left vs Real Right,1.0,1.0,1.0,1.0
S038,3,S038 Run 3: Real Left vs Real Right,0.8571,1.0,0.5,0.6667
S038,7,S038 Run 7: Real Left vs Real Right,0.7143,1.0,0.3333,0.5
S038,11,S038 Run 11: Real Left vs Real Right,0.5714,0.0,0.0,0.0
S039,3,S039 Run 3: Real Left vs Real Right,0.2857,0.0,0.0,0.0
S039,7,S039 Run 7: Real Left vs Real Right,0.8571,1.0,0.5,0.6667
S039,11,S039 Run 11: Real Left vs Real Right,0.5714,0.0,0.0,0.0
S040,3,S040 Run 3: Real Left vs Real Right,0.5714,0.0,0.0,0.0
S040,7,S040 Run 7: Real Left vs Real Right,0.4286,0.0,0.0,0.0
S040,11,S040 Run 11: Real Left vs Real Right,0.7143,0.0,0.0,0.0
S041,3,S041 Run 3: Real Left vs Real Right,0.8571,1.0,0.5,0.6667
S041,7,S041 Run 7: Real Left vs Real Right,0.8571,1.0,0.5,0.6667
S041,11,S041 Run 11: Real Left vs Real Right,0.7143,0.0,0.0,0.0
S042,3,S042 Run 3: Real Left vs Real Right,0.5714,0.5,0.6667,0.5714
S042,7,S042 Run 7: Real Left vs Real Right,0.8571,1.0,0.5,0.6667
S042,11,S042 Run 11: Real Left vs Real Right,0.7143,0.0,0.0,0.0
S043,3,S043 Run 3: Real Left vs Real Right,0.8571,1.0,0.5,0.6667
S043,7,S043 Run 7: Real Left vs Real Right,1.0,1.0,1.0,1.0
S043,11,S043 Run 11: Real Left vs Real Right,0.8571,1.0,0.6667,0.8
S044,3,S044 Run 3: Real Left vs Real Right,0.7143,1.0,0.3333,0.5
S044,7,S044 Run 7: Real Left vs Real Right,0.5714,0.0,0.0,0.0
S044,11,S044 Run 11: Real Left vs Real Right,0.7143,0.0,0.0,0.0
S045,3,S045 Run 3: Real Left vs Real Right,0.7143,0.0,0.0,0.0
S045,7,S045 Run 7: Real Left vs Real Right,0.5714,0.0,0.0,0.0
S045,11,S045 Run 11: Real Left vs Real Right,1.0,1.0,1.0,1.0
S046,3,S046 Run 3: Real Left vs Real Right,0.8571,0.6667,1.0,0.8
S046,7,S046 Run 7: Real Left vs Real Right,0.5714,0.5,0.6667,0.5714
S046,11,S046 Run 11: Real Left vs Real Right,0.7143,0.0,0.0,0.0
S047,3,S047 Run 3: Real Left vs Real Right,0.2857,0.0,0.0,0.0
S047,7,S047 Run 7: Real Left vs Real Right,0.5714,0.0,0.0,0.0
S047,11,S047 Run 11: Real Left vs Real Right,0.5714,0.0,0.0,0.0
S048,3,S048 Run 3: Real Left vs Real Right,1.0,1.0,1.0,1.0
S048,7,S048 Run 7: Real Left vs Real Right,0.7143,1.0,0.3333,0.5
S048,11,S048 Run 11: Real Left vs Real Right,0.7143,0.5,0.5,0.5
S049,3,S049 Run 3: Real Left vs Real Right,0.5714,0.0,0.0,0.0
S049,7,S049 Run 7: Real Left vs Real Right,0.7143,0.5,1.0,0.6667
S049,11,S049 Run 11: Real Left vs Real Right,0.7143,1.0,0.3333,0.5
S050,3,S050 Run 3: Real Left vs Real Right,0.5714,0.0,0.0,0.0
S050,7,S050 Run 7: Real Left vs Real Right,0.7143,1.0,0.3333,0.5
S050,11,S050 Run 11: Real Left vs Real Right,0.5714,0.0,0.0,0.0
S051,3,S051 Run 3: Real Left vs Real Right,0.7143,0.0,0.0,0.0
S051,7,S051 Run 7: Real Left vs Real Right,0.8571,1.0,0.5,0.6667
S051,11,S051 Run 11: Real Left vs Real Right,0.5714,0.3333,0.5,0.4
S052,3,S052 Run 3: Real Left vs Real Right,0.8571,1.0,0.6667,0.8
S052,7,S052 Run 7: Real Left vs Real Right,0.7143,0.0,0.0,0.0
S052,11,S052 Run 11: Real Left vs Real Right,0.8571,0.6667,1.0,0.8
S053,3,S053 Run 3: Real Left vs Real Right,0.7143,0.5,0.5,0.5
S053,7,S053 Run 7: Real Left vs Real Right,0.8571,1.0,0.5,0.6667
S053,11,S053 Run 11: Real Left vs Real Right,0.5714,0.0,0.0,0.0
S054,3,S054 Run 3: Real Left vs Real Right,0.7143,0.0,0.0,0.0
S054,7,S054 Run 7: Real Left vs Real Right,0.7143,0.0,0.0,0.0
S054,11,S054 Run 11: Real Left vs Real Right,0.8571,0.75,1.0,0.8571
S055,3,S055 Run 3: Real Left vs Real Right,0.7143,0.0,0.0,0.0
S055,7,S055 Run 7: Real Left vs Real Right,0.7143,1.0,0.3333,0.5
S055,11,S055 Run 11: Real Left vs Real Right,0.8571,1.0,0.5,0.6667
S056,3,S056 Run 3: Real Left vs Real Right,0.8571,1.0,0.6667,0.8
S056,7,S056 Run 7: Real Left vs Real Right,0.5714,0.0,0.0,0.0
S056,11,S056 Run 11: Real Left vs Real Right,0.7143,0.0,0.0,0.0
S057,3,S057 Run 3: Real Left vs Real Right,0.5714,0.0,0.0,0.0
S057,7,S057 Run 7: Real Left vs Real Right,0.7143,1.0,0.3333,0.5
S057,11,S057 Run 11: Real Left vs Real Right,0.5714,0.0,0.0,0.0
S058,3,S058 Run 3: Real Left vs Real Right,1.0,1.0,1.0,1.0
S058,7,S058 Run 7: Real Left vs Real Right,0.8571,1.0,0.6667,0.8
S058,11,S058 Run 11: Real Left vs Real Right,0.5714,0.0,0.0,0.0
S059,3,S059 Run 3: Real Left vs Real Right,0.5714,0.0,0.0,0.0
S059,7,S059 Run 7: Real Left vs Real Right,0.8571,0.6667,1.0,0.8
S059,11,S059 Run 11: Real Left vs Real Right,0.7143,0.0,0.0,0.0
S060,3,S060 Run 3: Real Left vs Real Right,0.7143,1.0,0.3333,0.5
S060,7,S060 Run 7: Real Left vs Real Right,0.8571,1.0,0.5,0.6667
S060,11,S060 Run 11: Real Left vs Real Right,0.5714,0.0,0.0,0.0
S061,3,S061 Run 3: Real Left vs Real Right,0.5714,0.0,0.0,0.0
S061,7,S061 Run 7: Real Left vs Real Right,0.5714,0.0,0.0,0.0
S061,11,S061 Run 11: Real Left vs Real Right,0.5714,0.0,0.0,0.0
S062,3,S062 Run 3: Real Left vs Real Right,1.0,1.0,1.0,1.0
S062,7,S062 Run 7: Real Left vs Real Right,1.0,1.0,1.0,1.0
S062,11,S062 Run 11: Real Left vs Real Right,0.8571,0.75,1.0,0.8571
S063,3,S063 Run 3: Real Left vs Real Right,0.5714,0.0,0.0,0.0
S063,7,S063 Run 7: Real Left vs Real Right,0.5714,0.0,0.0,0.0
S063,11,S063 Run 11: Real Left vs Real Right,0.7143,0.0,0.0,0.0
S064,3,S064 Run 3: Real Left vs Real Right,0.7143,0.0,0.0,0.0
S064,7,S064 Run 7: Real Left vs Real Right,1.0,1.0,1.0,1.0
S064,11,S064 Run 11: Real Left vs Real Right,0.7143,0.5,0.5,0.5
S065,3,S065 Run 3: Real Left vs Real Right,0.7143,0.0,0.0,0.0
S065,7,S065 Run 7: Real Left vs Real Right,0.5714,0.0,0.0,0.0
S065,11,S065 Run 11: Real Left vs Real Right,0.7143,0.0,0.0,0.0
S066,3,S066 Run 3: Real Left vs Real Right,0.5714,0.0,0.0,0.0
S066,7,S066 Run 7: Real Left vs Real Right,0.5714,0.0,0.0,0.0
S066,11,S066 Run 11: Real Left vs Real Right,0.8571,0.75,1.0,0.8571
S067,3,S067 Run 3: Real Left vs Real Right,0.7143,1.0,0.3333,0.5
S067,7,S067 Run 7: Real Left vs Real Right,0.7143,0.0,0.0,0.0
S067,11,S067 Run 11: Real Left vs Real Right,0.7143,0.0,0.0,0.0
S068,3,S068 Run 3: Real Left vs Real Right,0.7143,0.0,0.0,0.0
S068,7,S068 Run 7: Real Left vs Real Right,0.7143,1.0,0.3333,0.5
S068,11,S068 Run 11: Real Left vs Real Right,0.5714,0.5,0.3333,0.4
S069,3,S069 Run 3: Real Left vs Real Right,0.5714,0.0,0.0,0.0
S069,7,S069 Run 7: Real Left vs Real Right,0.4286,0.3333,0.3333,0.3333
S069,11,S069 Run 11: Real Left vs Real Right,0.7143,0.0,0.0,0.0
S070,3,S070 Run 3: Real Left vs Real Right,0.5714,0.0,0.0,0.0
S070,7,S070 Run 7: Real Left vs Real Right,0.5714,0.0,0.0,0.0
S070,11,S070 Run 11: Real Left vs Real Right,0.7143,0.0,0.0,0.0
S071,3,S071 Run 3: Real Left vs Real Right,0.7143,0.0,0.0,0.0
S071,7,S071 Run 7: Real Left vs Real Right,0.5714,0.0,0.0,0.0
S071,11,S071 Run 11: Real Left vs Real Right,0.5714,0.0,0.0,0.0
S072,3,S072 Run 3: Real Left vs Real Right,0.7143,0.0,0.0,0.0
S072,7,S072 Run 7: Real Left vs Real Right,1.0,1.0,1.0,1.0
S072,11,S072 Run 11: Real Left vs Real Right,0.8571,1.0,0.5,0.6667
S073,3,S073 Run 3: Real Left vs Real Right,1.0,1.0,1.0,1.0
S073,7,S073 Run 7: Real Left vs Real Right,0.7143,0.0,0.0,0.0
S073,11,S073 Run 11: Real Left vs Real Right,0.7143,0.5,0.5,0.5
S074,3,S074 Run 3: Real Left vs Real Right,0.7143,0.0,0.0,0.0
S074,7,S074 Run 7: Real Left vs Real Right,0.8571,1.0,0.5,0.6667
S074,11,S074 Run 11: Real Left vs Real Right,0.8571,0.6667,1.0,0.8
S075,3,S075 Run 3: Real Left vs Real Right,0.5714,0.0,0.0,0.0
S075,7,S075 Run 7: Real Left vs Real Right,0.5714,0.5,0.3333,0.4
S075,11,S075 Run 11: Real Left vs Real Right,0.8571,0.6667,1.0,0.8
S076,3,S076 Run 3: Real Left vs Real Right,1.0,1.0,1.0,1.0
S076,7,S076 Run 7: Real Left vs Real Right,0.7143,0.0,0.0,0.0
S076,11,S076 Run 11: Real Left vs Real Right,0.8571,1.0,0.5,0.6667
S077,3,S077 Run 3: Real Left vs Real Right,0.8571,1.0,0.5,0.6667
S077,7,S077 Run 7: Real Left vs Real Right,0.8571,1.0,0.5,0.6667
S077,11,S077 Run 11: Real Left vs Real Right,0.7143,0.0,0.0,0.0
S078,3,S078 Run 3: Real Left vs Real Right,0.7143,0.0,0.0,0.0
S078,7,S078 Run 7: Real Left vs Real Right,0.7143,0.0,0.0,0.0
S078,11,S078 Run 11: Real Left vs Real Right,0.5714,0.0,0.0,0.0
S079,3,S079 Run 3: Real Left vs Real Right,0.5714,0.0,0.0,0.0
S079,7,S079 Run 7: Real Left vs Real Right,0.7143,0.0,0.0,0.0
S079,11,S079 Run 11: Real Left vs Real Right,0.5714,0.0,0.0,0.0
S080,3,S080 Run 3: Real Left vs Real Right,0.8571,1.0,0.6667,0.8
S080,7,S080 Run 7: Real Left vs Real Right,0.8571,1.0,0.5,0.6667
S080,11,S080 Run 11: Real Left vs Real Right,0.5714,0.0,0.0,0.0
S081,3,S081 Run 3: Real Left vs Real Right,1.0,1.0,1.0,1.0
S081,7,S081 Run 7: Real Left vs Real Right,1.0,1.0,1.0,1.0
S081,11,S081 Run 11: Real Left vs Real Right,0.8571,1.0,0.5,0.6667
S082,3,S082 Run 3: Real Left vs Real Right,0.7143,0.0,0.0,0.0
S082,7,S082 Run 7: Real Left vs Real Right,0.5714,0.0,0.0,0.0
S082,11,S082 Run 11: Real Left vs Real Right,0.7143,0.0,0.0,0.0
S083,3,S083 Run 3: Real Left vs Real Right,1.0,1.0,1.0,1.0
S083,7,S083 Run 7: Real Left vs Real Right,1.0,1.0,1.0,1.0
S083,11,S083 Run 11: Real Left vs Real Right,1.0,1.0,1.0,1.0
S084,3,S084 Run 3: Real Left vs Real Right,0.5714,0.0,0.0,0.0
S084,7,S084 Run 7: Real Left vs Real Right,0.5714,0.5,0.3333,0.4
S084,11,S084 Run 11: Real Left vs Real Right,0.5714,0.0,0.0,0.0
S085,3,S085 Run 3: Real Left vs Real Right,0.7143,0.5,0.5,0.5
S085,7,S085 Run 7: Real Left vs Real Right,0.5714,0.0,0.0,0.0
S085,11,S085 Run 11: Real Left vs Real Right,0.5714,0.0,0.0,0.0
S086,3,S086 Run 3: Real Left vs Real Right,0.8571,1.0,0.5,0.6667
S086,7,S086 Run 7: Real Left vs Real Right,0.5714,0.0,0.0,0.0
S086,11,S086 Run 11: Real Left vs Real Right,0.8571,1.0,0.5,0.6667
S087,3,S087 Run 3: Real Left vs Real Right,0.7143,0.0,0.0,0.0
S087,7,S087 Run 7: Real Left vs Real Right,0.7143,0.0,0.0,0.0
S087,11,S087 Run 11: Real Left vs Real Right,0.7143,0.0,0.0,0.0
S088,3,S088 Run 3: Real Left vs Real Right,0.6667,0.0,0.0,0.0
S088,7,S088 Run 7: Real Left vs Real Right,0.6667,0.5,0.3333,0.4
S088,11,S088 Run 11: Real Left vs Real Right,0.6667,0.0,0.0,0.0
S089,3,S089 Run 3: Real Left vs Real Right,0.8,1.0,0.3333,0.5
S089,7,S089 Run 7: Real Left vs Real Right,0.7143,0.6667,0.6667,0.6667
S089,11,S089 Run 11: Real Left vs Real Right,0.7143,0.0,0.0,0.0
S090,3,S090 Run 3: Real Left vs Real Right,0.4286,0.25,0.5,0.3333
S090,7,S090 Run 7: Real Left vs Real Right,0.8571,1.0,0.5,0.6667
S090,11,S090 Run 11: Real Left vs Real Right,0.7143,0.0,0.0,0.0
S091,3,S091 Run 3: Real Left vs Real Right,0.7143,0.0,0.0,0.0
S091,7,S091 Run 7: Real Left vs Real Right,0.8571,1.0,0.5,0.6667
S091,11,S091 Run 11: Real Left vs Real Right,0.7143,1.0,0.3333,0.5
S092,3,S092 Run 3: Real Left vs Real Right,0.5556,0.3333,0.3333,0.3333
S092,7,S092 Run 7: Real Left vs Real Right,0.3333,0.0,0.0,0.0
S092,11,S092 Run 11: Real Left vs Real Right,0.7778,1.0,0.3333,0.5
S093,3,S093 Run 3: Real Left vs Real Right,0.5714,0.0,0.0,0.0
S093,7,S093 Run 7: Real Left vs Real Right,0.5714,0.0,0.0,0.0
S093,11,S093 Run 11: Real Left vs Real Right,0.7143,0.0,0.0,0.0
S094,3,S094 Run 3: Real Left vs Real Right,1.0,1.0,1.0,1.0
S094,7,S094 Run 7: Real Left vs Real Right,1.0,1.0,1.0,1.0
S094,11,S094 Run 11: Real Left vs Real Right,0.8571,0.6667,1.0,0.8
S095,3,S095 Run 3: Real Left vs Real Right,0.5714,0.0,0.0,0.0
S095,7,S095 Run 7: Real Left vs Real Right,0.7143,0.0,0.0,0.0
S095,11,S095 Run 11: Real Left vs Real Right,0.7143,0.0,0.0,0.0
S096,3,S096 Run 3: Real Left vs Real Right,0.7143,0.0,0.0,0.0
S096,7,S096 Run 7: Real Left vs Real Right,0.7143,0.0,0.0,0.0
S096,11,S096 Run 11: Real Left vs Real Right,0.5714,0.0,0.0,0.0
S097,3,S097 Run 3: Real Left vs Real Right,0.7143,0.0,0.0,0.0
S097,7,S097 Run 7: Real Left vs Real Right,0.5714,0.0,0.0,0.0
S097,11,S097 Run 11: Real Left vs Real Right,0.7143,0.0,0.0,0.0
S098,3,S098 Run 3: Real Left vs Real Right,1.0,1.0,1.0,1.0
S098,7,S098 Run 7: Real Left vs Real Right,0.7143,0.0,0.0,0.0
S098,11,S098 Run 11: Real Left vs Real Right,0.5714,0.0,0.0,0.0
S099,3,S099 Run 3: Real Left vs Real Right,0.5714,0.0,0.0,0.0
S099,7,S099 Run 7: Real Left vs Real Right,0.5714,0.0,0.0,0.0
S099,11,S099 Run 11: Real Left vs Real Right,0.7143,0.0,0.0,0.0
S100,3,S100 Run 3: Real Left vs Real Right,0.6667,0.0,0.0,0.0
S100,7,S100 Run 7: Real Left vs Real Right,0.6667,0.5,0.5,0.5
S100,11,S100 Run 11: Real Left vs Real Right,0.8333,1.0,0.5,0.6667
S101,3,S101 Run 3: Real Left vs Real Right,0.5714,0.0,0.0,0.0
S101,7,S101 Run 7: Real Left vs Real Right,0.7143,0.0,0.0,0.0
S101,11,S101 Run 11: Real Left vs Real Right,0.5714,0.0,0.0,0.0
S102,3,S102 Run 3: Real Left vs Real Right,0.5714,0.0,0.0,0.0
S102,7,S102 Run 7: Real Left vs Real Right,0.7143,0.0,0.0,0.0
S102,11,S102 Run 11: Real Left vs Real Right,0.8571,1.0,0.5,0.6667
S103,3,S103 Run 3: Real Left vs Real Right,0.7143,1.0,0.3333,0.5
S103,7,S103 Run 7: Real Left vs Real Right,0.7143,1.0,0.3333,0.5
S103,11,S103 Run 11: Real Left vs Real Right,0.7143,0.0,0.0,0.0
S104,3,S104 Run 3: Real Left vs Real Right,0.7143,0.5,0.5,0.5
S104,7,S104 Run 7: Real Left vs Real Right,0.7143,1.0,0.3333,0.5
S104,11,S104 Run 11: Real Left vs Real Right,0.5714,0.0,0.0,0.0
S105,3,S105 Run 3: Real Left vs Real Right,0.7143,0.0,0.0,0.0
S105,7,S105 Run 7: Real Left vs Real Right,0.7143,0.0,0.0,0.0
S105,11,S105 Run 11: Real Left vs Real Right,0.4286,0.0,0.0,0.0
S106,3,S106 Run 3: Real Left vs Real Right,0.5714,0.0,0.0,0.0
S106,7,S106 Run 7: Real Left vs Real Right,0.5714,0.0,0.0,0.0
S106,11,S106 Run 11: Real Left vs Real Right,0.7143,0.0,0.0,0.0
S107,3,S107 Run 3: Real Left vs Real Right,0.5714,0.0,0.0,0.0
S107,7,S107 Run 7: Real Left vs Real Right,0.7143,0.0,0.0,0.0
S107,11,S107 Run 11: Real Left vs Real Right,0.5714,0.0,0.0,0.0
S108,3,S108 Run 3: Real Left vs Real Right,0.8571,1.0,0.5,0.6667
S108,7,S108 Run 7: Real Left vs Real Right,0.8571,1.0,0.5,0.6667
S108,11,S108 Run 11: Real Left vs Real Right,0.7143,0.0,0.0,0.0
S109,3,S109 Run 3: Real Left vs Real Right,0.4286,0.0,0.0,0.0
S109,7,S109 Run 7: Real Left vs Real Right,0.8571,1.0,0.5,0.6667
S109,11,S109 Run 11: Real Left vs Real Right,0.5714,0.0,0.0,0.0
